Date,Open,High,Low,Close,Adj Close,Volume
"Sep 06, 2020",3371.88,3425.55,3310.47,3340.97,3340.97,16545570000
"Aug 30, 2020",3509.73,3588.11,3349.63,3426.96,3426.96,22095960000
"Aug 23, 2020",3418.09,3509.23,3413.13,3508.01,3508.01,18975990000
"Aug 16, 2020",3380.86,3399.96,3354.69,3397.16,3397.16,17745410000
"Aug 09, 2020",3356.04,3387.89,3326.44,3372.85,3372.85,19619500000
"Aug 02, 2020",3288.26,3352.54,3284.53,3351.28,3351.28,21777340000
"Jul 26, 2020",3219.84,3272.17,3204.13,3271.12,3271.12,21774140000
"Jul 19, 2020",3224.29,3279.99,3200.05,3215.63,3215.63,20789280000
"Jul 12, 2020",3205.08,3238.28,3127.66,3224.73,3224.73,22082120000
"Jul 05, 2020",3155.29,3186.82,3115.7,3185.04,3185.04,23635640000
"Jun 28, 2020",3018.59,3165.81,2999.74,3130.01,3130.01,17826770000
"Jun 21, 2020",3094.42,3154.9,3004.63,3009.05,3009.05,27951760000
"Jun 14, 2020",2993.76,3155.53,2965.66,3097.74,3097.74,28959080000
"Jun 07, 2020",3199.92,3233.13,2984.47,3041.31,3041.31,34390750000
"May 31, 2020",3038.78,3211.72,3031.54,3193.93,3193.93,30977470000
"May 24, 2020",3004.08,3068.67,2969.75,3044.31,3044.31,24991070000
"May 17, 2020",2913.86,2980.29,2913.86,2955.45,2955.45,25310860000
"May 10, 2020",2915.46,2945.82,2766.64,2863.7,2863.7,27249840000
"May 03, 2020",2815.01,2932.16,2797.85,2929.8,2929.8,24823610000
"Apr 26, 2020",2854.65,2954.86,2821.61,2830.71,2830.71,28845520000
"Apr 19, 2020",2845.62,2868.98,2727.1,2836.74,2836.74,26590900000
"Apr 12, 2020",2782.46,2879.22,2721.17,2874.56,2874.56,27176880000
"Apr 05, 2020",2578.28,2818.57,2574.57,2789.82,2789.82,27229510000
"Mar 29, 2020",2558.98,2641.39,2447.49,2488.65,2488.65,30852490000
"Mar 22, 2020",2290.71,2637.01,2191.86,2541.47,2541.47,37243200000
"Mar 15, 2020",2508.59,2562.98,2280.52,2304.92,2304.92,41985050000
"Mar 08, 2020",2863.89,2882.59,2478.86,2711.02,2711.02,40664410000
"Mar 02, 2020",2974.28,3136.72,2901.54,2972.37,2972.37,29965390000
"Feb 24, 2020",3257.61,3259.81,2855.84,2954.22,2954.22,31566850000
"Feb 17, 2020",3369.04,3393.52,3328.45,3337.75,3337.75,15292560000
"Feb 10, 2020",3318.28,3385.09,3317.77,3380.16,3380.16,18077170000
"Feb 03, 2020",3235.66,3347.96,3235.66,3327.71,3327.71,19500010000
"Jan 27, 2020",3247.16,3293.47,3214.68,3225.52,3225.52,19282920000
"Jan 20, 2020",3321.03,3337.77,3281.53,3295.47,3295.47,15204110000
"Jan 13, 2020",3271.13,3329.88,3268.43,3329.62,3329.62,18135300000
"Jan 06, 2020",3217.55,3282.99,3214.64,3265.35,3265.35,17721020000
"Dec 30, 2019",3240.09,3258.14,3212.03,3234.85,3234.85,12861110000
"Dec 23, 2019",3226.05,3247.93,3220.51,3240.02,3240.02,8954750000
"Dec 16, 2019",3183.63,3225.65,3183.63,3221.22,3221.22,22184930000
"Dec 09, 2019",3141.86,3182.68,3126.09,3168.8,3168.8,17765280000
"Dec 02, 2019",3143.85,3150.6,3070.33,3145.91,3145.91,17504100000
"Nov 25, 2019",3117.44,3154.26,3117.44,3140.98,3140.98,12893650000
"Nov 18, 2019",3117.91,3127.64,3091.41,3110.29,3110.29,18074100000
"Nov 11, 2019",3080.33,3120.46,3075.82,3120.46,3120.46,16692290000
"Nov 04, 2019",3078.96,3097.77,3065.89,3093.08,3093.08,20794290000
"Oct 27, 2019",3032.12,3066.95,3023.19,3066.91,3066.91,19004660000
"Oct 20, 2019",2996.48,3027.39,2991.21,3022.55,3022.55,17288670000
"Oct 13, 2019",2965.81,3008.29,2962.94,2986.2,2986.2,15507120000
"Oct 06, 2019",2944.23,2993.28,2892.66,2970.27,2970.27,15880820000
"Sep 29, 2019",2967.07,2992.53,2855.94,2952.01,2952.01,17244790000
"Sep 22, 2019",2983.5,3007.98,2945.53,2961.79,2961.79,16722640000
"Sep 15, 2019",2996.41,3021.99,2978.57,2992.07,2992.07,20787010000
"Sep 08, 2019",2988.43,3020.74,2957.01,3007.39,3007.39,19712530000
"Sep 01, 2019",2909.01,2985.86,2891.85,2978.71,2978.71,13707670000
"Aug 25, 2019",2866.7,2940.43,2853.05,2926.46,2926.46,15686820000
"Aug 18, 2019",2913.48,2939.08,2834.97,2847.11,2847.11,16141480000
"Aug 11, 2019",2907.07,2943.31,2825.51,2888.68,2888.68,19076710000
"Aug 04, 2019",2898.07,2938.72,2822.12,2918.65,2918.65,20687590000
"Jul 28, 2019",3024.47,3025.61,2914.11,2932.05,2932.05,20160210000
"Jul 21, 2019",2981.93,3027.98,2976.65,3025.86,3025.86,16700450000
"Jul 14, 2019",3017.8,3017.8,2973.09,2976.61,2976.61,16014490000
"Jul 07, 2019",2979.77,3013.92,2963.44,3013.77,3013.77,15253340000
"Jun 30, 2019",2971.41,2995.84,2952.22,2990.41,2990.41,11147600000
"Jun 23, 2019",2951.42,2954.92,2912.99,2941.76,2941.76,18812890000
"Jun 16, 2019",2889.75,2964.15,2887.3,2950.46,2950.46,18516760000
"Jun 09, 2019",2885.83,2910.61,2874.68,2886.98,2886.98,15894210000
"Jun 02, 2019",2751.53,2884.97,2728.81,2873.34,2873.34,18026770000
"May 26, 2019",2830.03,2840.51,2750.52,2752.06,2752.06,15106790000
"May 19, 2019",2841.94,2868.88,2805.49,2826.06,2826.06,16499350000
"May 12, 2019",2840.19,2892.15,2801.43,2859.53,2859.53,17050540000
"May 05, 2019",2908.89,2937.32,2825.39,2881.4,2881.4,17765260000
"Apr 28, 2019",2940.58,2954.13,2900.5,2945.64,2945.64,17918950000
"Apr 21, 2019",2898.78,2939.88,2896.35,2939.88,2939.88,16857490000
"Apr 14, 2019",2908.32,2918.0,2891.9,2905.03,2905.03,13672850000
"Apr 07, 2019",2888.46,2910.54,2873.33,2907.41,2907.41,15877870000
"Mar 31, 2019",2848.63,2893.24,2848.63,2892.74,2892.74,16592010000
"Mar 24, 2019",2796.01,2836.03,2785.02,2834.4,2834.4,17055060000
"Mar 17, 2019",2822.61,2860.31,2800.47,2800.71,2800.71,18917020000
"Mar 10, 2019",2747.61,2830.73,2747.61,2822.48,2822.48,20454890000
"Mar 04, 2019",2814.37,2816.88,2722.27,2743.07,2743.07,18737740000
"Feb 25, 2019",2804.35,2813.49,2775.13,2803.69,2803.69,19748980000
"Feb 18, 2019",2769.28,2794.2,2764.55,2792.67,2792.67,14467710000
"Feb 11, 2019",2712.4,2775.66,2703.79,2775.6,2775.6,18417330000
"Feb 04, 2019",2706.49,2738.98,2681.83,2707.88,2707.88,18217210000
"Jan 28, 2019",2644.89,2716.66,2631.05,2706.53,2706.53,16137630000
